YEAR,MONTH,MONTH_NO,BUS_CRIMES,UG-DLR_CRIMES,OG_CRIMES,TL_CRIMES,TFL_RAIL_CRIMES,TOTAL_CRIMES
2020,December,12,841,724,53,12,40,1670
2021,January,1,481,514,59,10,39,1103
2021,February,2,551,526,49,6,32,1164
2021,March,3,870,670,72,13,36,1661
2021,April,4,858,697,90,17,26,1688
2021,May,5,1028,767,84,15,38,1932
2021,June,6,1056,791,81,14,50,1992
2021,July,7,1131,834,89,20,53,2127
2021,August,8,952,789,74,18,57,1890
2021,September,9,1297,879,119,16,49,2360
2021,October,10,1430,1054,103,14,45,2646
2021,November,11,1446,1151,95,22,61,2775
2021,December,12,1231,1108,96,16,50,2501
2022,January,1,1200,1119,107,22,50,2498
2022,February,2,1283,1046,91,11,38,2469
2022,March,3,1505,1266,136,18,60,2985
2022,April,4,1298,1120,105,10,67,2600
2022,May,5,1513,1318,127,27,86,3071
2022,June,6,1554,1279,147,20,87,3087
2022,July,7,1305,1209,136,22,90,2762
2022,August,8,1349,1395,152,21,95,3012
2022,September,9,1467,987,101,13,79,2647
2022,October,10,1570,1558,125,14,109,3376
2022,November,11,1669,1823,160,37,139,3828
2022,December,12,1396,1628,128,33,142,3327
2023,January,1,1523,1754,123,41,108,3549
2023,February,2,1436,1763,135,24,130,3488
2023,March,3,1729,2002,171,28,128,4058
